Nome: BELO HORIZONTE (PAMPULHA)
Codigo Estacao: A521
Latitude: -19.88388888
Longitude: -43.96944443
Altitude: 854.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2020-01-01;0;16.3;30.8;24.9;19.8;60;
2020-01-02;100.6;18.7;28.8;21.6;17.7;84.3;
2020-01-03;18;19.5;26.3;22;20;86.2;
2020-01-04;44.4;19;26.3;21.5;19.3;86.3;
2020-01-05;26.6;18.8;28.5;22.2;18.9;82;
2020-01-06;0;19;28.7;24.2;20.6;74;
2020-01-07;.2;19.7;31;24.8;20.6;74.3;
2020-01-08;24.4;19.6;32;23.8;19.9;78.7;
2020-01-09;11;18.4;32.8;24.9;19.7;69.5;
2020-01-10;16.2;19.4;32.7;25.6;20;71;
2020-01-11;.2;16.8;31.9;26.5;21.4;55.7;
2020-01-12;0;17.5;33.8;27.3;21.4;57.3;
2020-01-13;0;17.7;33.4;26.7;20.4;59.4;
2020-01-14;1;19.2;31.6;23.9;20.7;76.5;
2020-01-15;52.8;19.3;31.5;25.2;19.3;71;
2020-01-16;49;19.1;32.1;24.4;18.4;75.1;
2020-01-17;44.4;19.8;28.9;23;20.2;83.2;
2020-01-18;.2;18.3;27.1;23.3;20.1;73.8;
2020-01-19;0;18.8;29.9;23.4;20.9;76.6;
2020-01-20;4.8;18.9;28.3;22.7;20.1;80;
2020-01-21;10.4;18.5;27.5;21.9;19.1;81.5;
2020-01-22;4.2;18;27.7;22.6;18.2;75.8;
2020-01-23;20.6;18.9;22.5;20.4;19.6;90.9;
2020-01-24;159.4;19.2;23.4;20.7;19.7;91.3;
2020-01-25;116.6;18.9;28.3;21.8;19.2;84.5;
2020-01-26;.4;18.6;28.2;22.9;19.2;77.8;
2020-01-27;.2;18.5;29.8;23.2;20.5;75.9;
2020-01-28;.6;19.1;31.2;24.2;20.2;75;
2020-01-29;32.6;19.7;26.2;22.5;19.1;84.5;
2020-01-30;1;19.4;31.6;25.4;20.6;71.1;
2020-01-31;0;19.7;32.3;26;22.2;69;
2020-02-01;.2;19.9;31.1;25.3;21.3;72.9;
2020-02-02;18.6;18.8;32.9;25.3;20.4;68.6;
2020-02-03;44.4;18.3;31.8;25.1;19.8;68.6;
2020-02-04;.2;17.4;30.2;25.2;21.1;62.6;
2020-02-05;40.8;18.9;26.1;22.2;19.1;82.1;
2020-02-06;6.4;18.2;25.4;21;19.9;84.1;
2020-02-07;40.4;16.8;28.1;21.8;17.1;75;
2020-02-08;.2;17.5;28;22;18.6;76.3;
2020-02-09;24.4;18.1;26.3;21.4;18.3;82.6;
2020-02-10;.8;18;29.3;23.3;19.5;73.7;
2020-02-11;9.2;18.9;26.4;21.4;19.1;86.1;
2020-02-12;32.6;19.1;26.7;21.7;19.3;85.5;
2020-02-13;0;18.4;24;20.9;19.7;85.8;
2020-02-14;10.4;18;31.1;22.3;17.8;78.5;
2020-02-15;9.4;18.7;30.8;24;19.7;73.9;
2020-02-16;3;19.2;29.4;23.7;21.6;76.5;
2020-02-17;19;19.1;29.4;23.3;18.3;77.9;
2020-02-18;2.2;17.5;30.2;24.1;20.4;67.1;
2020-02-19;0;17.2;30.7;24.4;20.2;65.2;
2020-02-20;0;17.8;31.1;24.8;20.7;66.4;
2020-02-21;.2;18.5;30.7;24.6;20.7;69.5;
2020-02-22;0;18.1;30.8;24.3;19.6;70.2;
2020-02-23;22;17.7;25.8;21.9;19.2;77.9;
2020-02-24;.6;17.7;25.9;21.2;19.2;80.8;
2020-02-25;5.6;19.4;29.2;23.3;19.9;79.8;
2020-02-26;8.4;19.7;29.2;23.3;20.2;81;
2020-02-27;1.4;19.2;30.1;23.8;19.5;76.7;
2020-02-28;27.8;19.7;23.8;21.5;20;89.2;
2020-02-29;16.4;19.3;24.4;21.1;19.7;89.2;
2020-03-01;4.4;18.8;28.2;21.6;19;85;
2020-03-02;32.4;16.5;20.8;18.7;16.8;87.3;
2020-03-03;12.2;18.2;24.8;20.2;17.7;88.3;
2020-03-04;44.4;19.1;29.4;22.4;19.2;82.3;
2020-03-05;1.2;18.9;29.6;23.3;20;77.8;
2020-03-06;.4;17.5;26.6;20.7;18;82.6;
2020-03-07;9;17.3;25.5;20.2;18.1;83.8;
2020-03-08;.2;16.5;26.4;21.1;18;76;
2020-03-09;0;16;29.3;22.5;17.9;68.5;
2020-03-10;0;16.7;29.6;23.1;19.6;68.4;
2020-03-11;0;16.7;30.4;23.2;18;68.5;
2020-03-12;0;17;29.4;23.9;19.4;66.5;
2020-03-13;0;17.7;28.7;23.6;19.9;70.4;
2020-03-14;0;17.8;29.2;23.9;20.5;69.8;
2020-03-15;0;16.4;28.9;23.7;20.4;65.3;
2020-03-16;0;16.2;30.8;24.2;18.4;62.5;
2020-03-17;0;17.2;31.4;23.1;19;71.2;
2020-03-18;41.4;18.1;29.8;22.9;17.9;75.9;
2020-03-19;0;18.6;30.8;23.9;19.4;73.4;
2020-03-20;41.2;19.8;29;22.7;19.2;84.6;
2020-03-21;93.4;19.3;26.7;21.6;19.3;87;
2020-03-22;35.6;18.1;24.3;20.9;18.6;84.5;
2020-03-23;2.2;15.9;26.1;21;18.3;73;
2020-03-24;0;13.8;26.6;20.2;15.9;67.7;
2020-03-25;0;13.9;27.7;20.5;14.9;66.7;
2020-03-26;0;15.1;26.8;20.9;17.1;70.1;
2020-03-27;0;15.7;25.5;21;17.9;72.3;
2020-03-28;0;15.6;27.8;22.3;18.8;66.3;
2020-03-29;0;17.1;31.3;23.8;19.6;67.5;
2020-03-30;0;16.8;31.2;24.8;20.9;62.5;
2020-03-31;0;17;31.2;24.6;21.5;63.3;
2020-04-01;0;18.4;28.3;23.3;21.3;74.8;
2020-04-02;20.6;19.3;28.5;22.9;20.2;80.7;
2020-04-03;2.8;19.9;28.5;22.9;19.3;83.5;
2020-04-04;9.4;19.2;29.7;23.2;19.5;79.6;
2020-04-05;.2;18.9;31.3;24.3;20.1;73.8;
2020-04-06;0;18.7;30.4;23.9;20.1;73.8;
2020-04-07;0;19.8;29.2;23.7;20.1;79;
2020-04-08;.2;18.6;30.6;23.1;20.6;76.7;
2020-04-09;33;17.8;27.5;21.5;17.7;80.3;
2020-04-10;.6;17.7;28.7;22.6;18.5;75.3;
2020-04-11;0;18.3;29.7;23.1;19.8;75.1;
2020-04-12;.4;18.2;28.6;22.2;18.7;78.5;
2020-04-13;0;16.1;27.6;21.1;17.4;74.1;
2020-04-14;0;15.9;27.5;21.5;17.6;71.7;
2020-04-15;0;17.2;27.4;21.1;18.6;79.6;
2020-04-16;29;17.9;25.1;20.3;17.7;86.5;
2020-04-17;.8;17.7;28.7;21.8;18.3;78.5;
2020-04-18;0;16.4;27.4;21.4;17.3;74;
2020-04-19;4;14.9;24.7;19.9;16.9;73.3;
2020-04-20;0;14.5;26.7;20.2;15.4;71.9;
2020-04-21;0;14.1;27.7;20.6;14.6;68.5;
2020-04-22;0;14.3;28.1;20.9;15.3;68.2;
2020-04-23;0;15.7;27.5;21.8;18.3;69;
2020-04-24;0;15.6;27.4;21.4;16.8;70.8;
2020-04-25;0;13.6;27.1;20.8;16.2;64.5;
2020-04-26;0;14.8;27.4;21.5;16.6;66.6;
2020-04-27;0;13.5;25.8;19.8;14.6;68.8;
2020-04-28;0;10.9;24.6;19.2;13.8;60.9;
2020-04-29;0;11.5;26.3;19.7;15.3;60.1;
2020-04-30;0;12.1;26.2;20;14.2;63;
2020-05-01;0;12.1;27.6;19.8;12.7;64.4;
2020-05-02;0;11.7;28.5;20.8;13.6;60.3;
2020-05-03;0;12.8;28.4;20.7;13.8;63.1;
2020-05-04;0;13.2;26.5;19.9;15;66.4;
2020-05-05;0;14.8;26.8;20.5;16.5;71.3;
2020-05-06;0;14.5;28.7;21.5;16.3;66.9;
2020-05-07;2;16.3;22;19.2;17.9;83.5;
2020-05-08;2;11.7;23.8;18.1;15.4;67.1;
2020-05-09;.2;10.2;23.3;16.5;11.1;69.1;
2020-05-10;0;9.9;22.9;16.7;12.7;65.4;
2020-05-11;0;9.6;24.3;17.6;12.9;60.6;
2020-05-12;0;11.9;27.2;19;12;65.4;
