dt_notific,precipitacao,ponto_orvalho,temp_media,temp_max,temp_min,umidade,precipitacao_soma_5d,precipitacao_soma_10d,precipitacao_soma_15d,ponto_orvalho_media_5d,ponto_orvalho_media_10d,ponto_orvalho_media_15d,temp_media_media_5d,temp_media_media_10d,temp_media_media_15d,temp_max_media_5d,temp_max_media_10d,temp_max_media_15d,temp_min_media_5d,temp_min_media_10d,temp_min_media_15d,umidade_media_5d,umidade_media_10d,umidade_media_15d,quantidade_de_casos,quantidade_de_casos_7dias,quantidade_de_casos_14dias,quantidade_de_casos_21dias,estacao
2020-01-01,0.0,16.3,24.9,30.8,19.8,60.0,0.0,0.0,0.0,16.3,16.3,16.3,24.9,24.9,24.9,30.8,30.8,30.8,19.8,19.8,19.8,60.0,60.0,60.0,2,2,2,2,Verão
2020-01-02,100.6,18.7,21.6,28.8,17.7,84.3,100.6,100.6,100.6,17.5,17.5,17.5,23.25,23.25,23.25,29.8,29.8,29.8,18.75,18.75,18.75,72.15,72.15,72.15,13,13,13,13,Verão
2020-01-03,18.0,19.5,22.0,26.3,20.0,86.2,118.6,118.6,118.6,18.167,18.167,18.167,22.833,22.833,22.833,28.633,28.633,28.633,19.167,19.167,19.167,76.833,76.833,76.833,6,6,6,6,Verão
2020-01-04,44.4,19.0,21.5,26.3,19.3,86.3,163.0,163.0,163.0,18.375,18.375,18.375,22.5,22.5,22.5,28.05,28.05,28.05,19.2,19.2,19.2,79.2,79.2,79.2,2,2,2,2,Verão
2020-01-05,26.6,18.8,22.2,28.5,18.9,82.0,189.6,189.6,189.6,18.46,18.46,18.46,22.44,22.44,22.44,28.14,28.14,28.14,19.14,19.14,19.14,79.76,79.76,79.76,1,1,1,1,Verão
2020-01-06,0.0,19.0,24.2,28.7,20.6,74.0,189.6,189.6,189.6,19.0,18.55,18.55,22.3,22.733,22.733,27.72,28.233,28.233,19.3,19.383,19.383,82.56,78.8,78.8,13,13,13,13,Verão
2020-01-07,0.2,19.7,24.8,31.0,20.6,74.3,89.2,189.8,189.8,19.2,18.714,18.714,22.94,23.029,23.029,28.16,28.629,28.629,19.88,19.557,19.557,80.56,78.157,78.157,5,5,5,5,Verão
2020-01-08,24.4,19.6,23.8,32.0,19.9,78.7,95.6,214.2,214.2,19.22,18.825,18.825,23.3,23.125,23.125,29.3,29.05,29.05,19.86,19.6,19.6,79.06,78.225,78.225,9,9,9,9,Verão
2020-01-09,11.0,18.4,24.9,32.8,19.7,69.5,62.2,225.2,225.2,19.1,18.778,18.778,23.98,23.322,23.322,30.6,29.467,29.467,19.94,19.611,19.611,75.7,77.256,77.256,21,21,21,21,Verão
2020-01-10,16.2,19.4,25.6,32.7,20.0,71.0,51.8,241.4,241.4,19.22,18.84,18.84,24.66,23.55,23.55,31.44,29.79,29.79,20.16,19.65,19.65,73.5,76.63,76.63,12,12,12,12,Verão
2020-01-11,0.2,16.8,26.5,31.9,21.4,55.7,52.0,241.6,241.6,18.78,18.89,18.655,25.12,23.71,23.818,32.08,29.9,29.982,20.32,19.81,19.809,69.84,76.2,74.727,2,2,2,2,Verão
2020-01-12,0.0,17.5,27.3,33.8,21.4,57.3,51.8,141.0,241.6,18.34,18.77,18.558,25.62,24.28,24.108,32.64,30.4,30.3,20.48,20.18,19.942,66.44,73.5,73.275,1,1,1,1,Verão
2020-01-13,0.0,17.7,26.7,33.4,20.4,59.4,27.4,123.0,241.6,17.96,18.59,18.492,26.2,24.75,24.308,32.92,31.11,30.538,20.58,20.22,19.977,62.58,70.82,72.208,14,14,14,14,Verão
2020-01-14,1.0,19.2,23.9,31.6,20.7,76.5,17.4,79.6,242.6,18.12,18.61,18.543,26.0,24.99,24.279,32.68,31.64,30.614,20.78,20.36,20.029,63.98,69.84,72.514,11,11,11,11,Verão
2020-01-15,52.8,19.3,25.2,31.5,19.3,71.0,54.0,105.8,295.4,18.1,18.66,18.593,25.92,25.29,24.34,32.44,31.94,30.673,20.64,20.4,19.98,63.98,68.74,72.413,14,14,14,14,Verão
2020-01-16,49.0,19.1,24.4,32.1,18.4,75.1,102.8,154.8,344.4,18.56,18.67,18.78,25.5,25.31,24.307,32.48,32.28,30.76,20.04,20.18,19.887,67.86,68.85,73.42,21,21,21,21,Verão
2020-01-17,44.4,19.8,23.0,28.9,20.2,83.2,147.2,199.0,288.2,19.02,18.68,18.853,24.64,25.13,24.4,31.5,32.07,30.767,19.8,20.14,20.053,73.04,69.74,73.347,11,11,11,11,Verão
2020-01-18,0.2,18.3,23.3,27.1,20.1,73.8,147.4,174.8,270.4,19.14,18.55,18.773,23.96,25.08,24.487,30.24,31.58,30.82,19.74,20.16,20.06,75.92,69.25,72.52,1,1,1,1,Verão
2020-01-19,0.0,18.8,23.4,29.9,20.9,76.6,146.4,163.8,226.0,19.06,18.59,18.76,23.86,24.93,24.613,29.9,31.29,31.06,19.78,20.28,20.167,75.94,69.96,71.873,3,3,3,3,Verão
2020-01-20,4.8,18.9,22.7,28.3,20.1,80.0,98.4,152.4,204.2,18.98,18.54,18.767,23.36,24.64,24.647,29.26,30.85,31.047,19.94,20.29,20.247,77.74,70.86,71.74,24,24,24,24,Verão
2020-01-21,10.4,18.5,21.9,27.5,19.1,81.5,59.8,162.6,214.6,18.86,18.71,18.733,22.86,24.18,24.493,28.34,30.41,30.967,20.08,20.06,20.147,79.02,73.44,72.24,19,19,19,19,Verão
2020-01-22,4.2,18.0,22.6,27.7,18.2,75.8,19.6,166.8,218.6,18.5,18.76,18.62,22.78,23.71,24.347,28.1,29.8,30.747,19.68,19.74,19.987,77.54,75.29,72.34,19,19,19,19,Verão
2020-01-23,20.6,18.9,20.4,22.5,19.6,90.9,40.0,187.4,214.8,18.62,18.88,18.573,22.2,23.08,24.12,27.18,28.71,30.113,19.58,19.66,19.967,80.96,78.44,73.153,10,10,10,10,Verão
2020-01-24,159.4,19.2,20.7,23.4,19.7,91.3,199.4,345.8,363.2,18.7,18.88,18.627,21.66,22.76,23.84,25.88,27.89,29.487,19.34,19.56,19.967,83.9,79.92,74.607,26,26,26,26,Verão
2020-01-25,116.6,18.9,21.8,28.3,19.2,84.5,311.2,409.6,463.6,18.7,18.84,18.593,21.48,22.42,23.587,25.88,27.57,29.193,19.16,19.55,19.913,84.8,81.27,75.507,2,2,2,2,Verão
2020-01-26,0.4,18.6,22.9,28.2,19.2,77.8,301.2,361.0,463.8,18.72,18.79,18.713,21.68,22.27,23.347,26.02,27.18,28.947,19.18,19.63,19.767,84.06,81.54,76.98,1,1,1,1,Verão
2020-01-27,0.2,18.5,23.2,29.8,20.5,75.9,297.2,316.8,464.0,18.82,18.66,18.78,21.8,22.29,23.073,26.44,27.27,28.68,19.64,19.66,19.707,84.08,80.81,78.22,22,22,22,22,Verão
2020-01-28,0.6,19.1,24.2,31.2,20.2,75.0,277.2,317.2,464.6,18.86,18.74,18.873,22.56,22.38,22.907,28.18,27.68,28.533,19.76,19.67,19.693,80.9,80.93,79.26,12,12,12,12,Verão
2020-01-29,32.6,19.7,22.5,26.2,19.1,84.5,150.4,349.8,496.2,18.96,18.83,18.907,22.92,22.29,22.813,28.74,27.31,28.173,19.64,19.49,19.587,79.54,81.72,79.793,17,17,17,17,Verão
2020-01-30,1.0,19.4,25.4,31.6,20.6,71.1,34.8,346.0,444.4,19.06,18.88,18.913,23.64,22.56,22.827,29.4,27.64,28.18,19.92,19.54,19.673,76.86,80.83,79.8,21,21,21,21,Verão
2020-01-31,0.0,19.7,26.0,32.3,22.2,69.0,34.4,335.6,395.4,19.28,19.0,18.953,24.26,22.97,22.933,30.22,28.12,28.193,20.52,19.85,19.927,75.1,79.58,79.393,17,17,17,17,Verão
2020-02-01,0.2,19.9,25.3,31.1,21.3,72.9,34.4,331.6,351.2,19.56,19.19,18.96,24.68,23.24,23.087,30.48,28.46,28.34,20.68,20.16,20.0,74.5,79.29,78.707,6,6,6,6,Verão
2020-02-02,18.6,18.8,25.3,32.9,20.4,68.6,52.4,329.6,369.6,19.5,19.18,18.993,24.9,23.73,23.22,30.82,29.5,28.727,20.72,20.24,20.02,73.22,77.06,78.36,6,6,6,6,Verão
2020-02-03,44.4,18.3,25.1,31.8,19.8,68.6,64.2,214.6,414.0,19.22,19.09,18.96,25.42,24.17,23.333,31.94,30.34,28.853,20.86,20.25,19.947,70.04,74.79,77.827,33,33,33,33,Verão
2020-02-04,0.2,17.4,25.2,30.2,21.1,62.6,63.4,98.2,409.4,18.82,18.94,18.86,25.38,24.51,23.5,31.66,30.53,28.98,20.96,20.44,20.013,68.34,72.6,76.667,26,26,26,26,Verão
2020-02-05,40.8,18.9,22.2,26.1,19.1,82.1,104.2,138.6,439.8,18.66,18.97,18.887,24.62,24.44,23.52,30.42,30.32,28.887,20.34,20.43,20.013,70.96,73.03,76.707,20,20,20,20,Verão
2020-02-06,6.4,18.2,21.0,25.4,19.9,84.1,110.4,144.8,442.0,18.32,18.94,18.9,23.76,24.22,23.413,29.28,29.88,28.733,20.06,20.37,20.127,73.2,73.85,77.26,16,16,16,16,Verão
2020-02-07,40.4,16.8,21.8,28.1,17.1,75.0,132.2,184.6,461.8,17.92,18.71,18.76,23.06,23.98,23.507,28.32,29.57,29.107,19.4,20.06,19.96,74.48,73.85,76.2,32,32,32,32,Verão
2020-02-08,0.2,17.5,22.0,28.0,18.6,76.3,88.0,152.2,302.6,17.76,18.49,18.647,22.44,23.93,23.593,27.56,29.75,29.413,19.16,20.01,19.887,76.02,73.03,75.2,8,8,8,8,Verão
